depth_mm,age_AD,d18O,d13C
152.5,-889.83,-3.8,-5.23
153,-900.8,-3.82,-4.68
153.5,-911.76,-4.07,-5.07
154,-922.74,-3.88,-4.17
154.5,-933.76,-3.87,-4.35
155,-944.82,-3.87,-5.42
155.5,-955.91,-4.06,-6.27
156,-966.99,-3.93,-5.77
156.5,-978.05,-3.56,-4.84
157,-989.08,-3.63,-4.8
157.5,-1000.09,-3.53,-4.69
158,-1011.12,-3.6,-4.33
158.5,-1022.16,-3.68,-4.16
159,-1033.23,-3.54,-4.14
159.5,-1044.31,-3.81,-5.42
160,-1055.38,-3.59,-4.99
160.5,-1066.42,-3.76,-3.97
161,-1077.45,-3.53,-3.61
161.5,-1088.48,-3.72,-4.24
162,-1099.52,-3.71,-4.41
162.5,-1110.58,-3.63,-3.68
163,-1121.68,-3.58,-3.82
163.5,-1132.78,-3.4,-3.67
164,-1143.89,-3.34,-3.32
164.5,-1155,-3.5,-3.38
165,-1166.09,-3.43,-3.72
165.5,-1177.2,-3.62,-4.46
166,-1188.31,-3.59,-4.11
166.5,-1199.44,-3.7,-4.73
167,-1210.59,-3.76,-5.05
167.5,-1221.73,-3.77,-5.2
168,-1232.85,-3.74,-4.95
168.5,-1243.93,-3.87,-4.93
169,-1254.97,-3.63,-4.43
169.5,-1266.01,-3.53,-4.09
170,-1277.08,-3.67,-4.48
170.5,-1288.21,-3.85,-4.9
171,-1299.38,-3.7,-5.45
171.5,-1310.57,-3.87,-4.77
172,-1321.74,-3.65,-4.62
172.5,-1332.86,-3.6,-4.64
173,-1343.93,-3.59,-4.34
173.5,-1354.98,-3.61,-4.94
174,-1366.04,-3.63,-5
